DT,Measurement
2022-12-17 15:00:00,7.653499999999999
2022-12-17 16:00:00,7.466018333333333
2022-12-17 17:00:00,7.1615874999999996
2022-12-17 18:00:00,7.018371666666667
2022-12-17 19:00:00,6.801910833333333
2022-12-17 20:00:00,6.549711666666667
2022-12-17 21:00:00,6.4292075
2022-12-17 22:00:00,6.0982825
2022-12-17 23:00:00,5.544064166666667
2022-12-18 00:00:00,6.322242857142857
2022-12-18 01:00:00,5.608081666666666
2022-12-18 02:00:00,4.441169166666667
2022-12-18 03:00:00,3.5982966666666667
2022-12-18 04:00:00,3.2465483333333336
2022-12-18 05:00:00,2.985743333333333
2022-12-18 06:00:00,3.113684166666667
2022-12-18 07:00:00,3.862465
2022-12-18 08:00:00,4.431226666666666
2022-12-18 09:00:00,6.3809025
2022-12-18 10:00:00,7.708115
2022-12-18 11:00:00,8.351563333333333
2022-12-18 12:00:00,8.650639166666668
2022-12-18 13:00:00,8.20301
2022-12-18 14:00:00,7.734068333333334
2022-12-18 15:00:00,7.448049999999999
2022-12-18 16:00:00,7.223765833333333
2022-12-18 17:00:00,7.040924166666667
2022-12-18 18:00:00,7.1576675000000005
2022-12-18 19:00:00,7.266241666666667
2022-12-18 20:00:00,7.309358333333334
2022-12-18 21:00:00,7.319368333333333
2022-12-18 22:00:00,6.914376666666667
2022-12-18 23:00:00,6.087770833333334
2022-12-19 00:00:00,6.278748333333334
2022-12-19 01:00:00,5.331835
2022-12-19 02:00:00,3.9428383333333334
2022-12-19 03:00:00,3.4600633333333333
2022-12-19 04:00:00,3.1804816666666667
2022-12-19 05:00:00,3.3807683333333336
2022-12-19 06:00:00,3.3214478991596637
2022-12-19 07:00:00,4.585019166666667
2022-12-19 08:00:00,6.456598333333333
2022-12-19 09:00:00,7.275719166666667
2022-12-19 10:00:00,7.4420475
2022-12-19 11:00:00,7.553533333333333
2022-12-19 12:00:00,7.474013333333334
2022-12-19 13:00:00,7.254061666666667
2022-12-19 14:00:00,7.053866666666667
2022-12-19 15:00:00,6.853805833333333
2022-12-19 16:00:00,6.6591125
2022-12-19 17:00:00,6.742335
2022-12-19 18:00:00,7.007905833333334
2022-12-19 19:00:00,7.2863525000000005
2022-12-19 20:00:00,7.627665833333333
2022-12-19 21:00:00,7.5200225
2022-12-19 22:00:00,7.261588333333333
2022-12-19 23:00:00,6.186928333333333
2022-12-20 00:00:00,6.328715833333334
2022-12-20 01:00:00,5.4028325
2022-12-20 02:00:00,4.10508
2022-12-20 03:00:00,3.613719166666667
2022-12-20 04:00:00,3.37054
2022-12-20 05:00:00,3.3181333333333334
2022-12-20 06:00:00,3.2888016666666666
2022-12-20 07:00:00,4.4681725
2022-12-20 08:00:00,6.371823333333333
2022-12-20 09:00:00,7.378955
2022-12-20 10:00:00,7.20251
2022-12-20 11:00:00,7.343345833333333
2022-12-20 12:00:00,7.134133613445378
2022-12-20 13:00:00,7.032234166666667
2022-12-20 14:00:00,6.698915833333333
